screen_name,followers_count,statuses_count,location,geo_enabled
rqpmhaxuluy,0,0,,False
Nomi87333120,0,0,,False
JamaElmi11,0,0,,False
SumitRe82378502,0,0,,False
NYOIwO9syZGRCjW,0,0,,False
AgerwalR,0,0,,False
VikramR94872281,0,0,,False
MukeshK46097660,0,0,,False
pdwivedi_0517,0,0,,False
PronatiG,0,0,,False
DikenouFelicia,0,0,,False
Santosh87409255,0,0,,False
supriya89099583,0,0,,False
Nishad51392688,0,0,,False
JagjitS33669251,0,0,,False
aliasmot32gmai2,0,0,alamdanga chuadanga bangladesh,False
Lohith62630556,0,0,,False
ManishK39778037,0,0,,False
sunilYa06239651,0,0,,False
VibhorSharmatwt,0,2,,False
Ganesh24134103,0,0,,False
KSudeepSJain1,0,0,,False
AdiamMengsteab,0,0,,False
6D2eQ7cDFrmO6KY,0,0,,False
scarlet_roe_77,0,0,,False
agyat_dj,0,0,,False
BieberNithish,0,0,,False
NasirHu07756570,1,0,,False
kbdelXbsrRgJQ94,0,0,,False
rohit_rb,0,0,,False
SachinShivanag4,0,0,,False
gaurav12690,0,0,,False
Hindnarayan1,0,0,,False
AjithKu23875751,0,0,,False
alain_moyse,0,0,,False
AithaRamdev,0,0,,False
Vilasya88937130,0,0,,False
SameerS21879457,0,0,,False
malindawaveris1,0,0,,False
nandhinijayabal,0,1,,False
BIJOYKRISHNADE8,0,0,,False
qODixtf0DDBon9j,0,0,,False
JagadeeshKanak2,0,0,,False
whittaker2835,0,0,,False
lalitdhama7,0,0,,False
z5aJopEN08eWo2R,0,0,,False
MDJAYNULHOQUE1,0,0,,False
claudelategan5,0,0,,False
Sachchi63427897,1,0,,False
HusanKram,0,0,,False
Nareshkumarpsp1,0,0,,False
Laxmankotiya191,0,0,,False
christinasdfgd4,0,0,,False
Cbo1lCWtOToJk4r,1,0,,False
BahadurTh,0,0,,False
radhara81837189,12,37,"Ashokenagar West Bengal, India",True
manjula_tr,0,0,,False
TeotiaArchana,1,8,Nathugarhi,False
Radhesh93362796,1,0,,False
AnilTiw91877017,0,0,,False
yogeshkumarCho6,0,0,,False
rusianveer,0,0,,False
Paresh06983222,1,0,,False
AabidRa13557182,0,0,"Sherghati, India",False
DineshD78424059,0,0,,False
srisiddhu22,0,0,,False
Satish08981666,0,0,,False
HariLal28877252,0,0,,False
chireddyvenkata,4,0,"Proddatur, India",False
GhanekarShweta,1,0,,False
ManishA00754474,0,0,,False
ashwin88861869,1,0,,False
Shyamdh78748728,0,0,,False
teresac45967194,0,0,,False
ChVikkiChauhan1,0,0,,False
Nandqni1,0,0,,False
Abhishe54164252,0,1,,False
Zaman81848031,0,0,,False
Pavan86783734,0,0,,False
jagwanisahil248,0,0,,False
christinapicks5,0,0,,False
Rangag7733Singh,0,0,,False
Nebulal18,0,0,,False
Jeyakum95834940,0,0,,False
shamim158,12,67,"Uttar Pradesh, India",False
SatyaPr86513596,1,1,"Bhagalpur, India",False
Warisaga1,0,0,,False
Dheeraj72220538,0,0,,False
MehtabKhan40,2,2,,False
Sagar11114818,0,0,,False
Jay39352592,1,0,,False
carry9752tz,0,0,,False
Farman87569798,0,0,,False
MdShahidSiddi16,0,0,,False
omaroberto9,0,0,,False
ZalaDivyarajs17,1,0,,False
Samuelraja07,3,3,"Vishakhapatnam, India",False
JakharKesa,0,0,,False
Arsaln07873981,0,0,,False
asdfgh48882301,0,0,,False
Pawanku01481294,0,0,,False
ShahedK51256680,0,0,,False
nxxrhtvcziz3571,0,0,,False
rajput_dewam,0,1,,False
sanjayp33041236,1,0,,False
counterbernays,642,11492,,True
HarshitNandan1,5,20,"Arrah, India",True
tusharsenapati1,6,11,"BHADRAK, ODISHA",False
Mushin54771990,0,1,,False
Swarupsinha20,0,0,,False
RajeshBhogadi,9,256,,True
Pardeep42649309,0,0,,False
lucimacmillin5,0,0,,False
ramyakarkala40,1,0,,False
Pankaj97396750,0,0,,False
harinderbhati3,1,0,,False
mkaoizai,0,0,,False
ChandAh80466825,0,1,,False
darcelghizzoni8,0,0,,False
Kumaras73153406,0,0,,False
ShashikantRaw12,5,0,,False
HRamakrishna7,0,0,,False
Ravikan04886404,0,0,,False
amitmansukhani,141,10,MADRID,False
mathobela_harry,1,0,,False
barnali9192,0,0,,False
PurvaBhatt5,4,1,"Ahmadabad City, India",False
Priyadh56935549,1,0,,False
lucky_1412lucky,0,0,,False
Prashan34567949,0,0,,False
chimanshu180597,2,4,"New Delhi, India",False
Tirupurbutton,0,0,,False
KirtiPa94456760,0,0,,False
Ciphe5,1,0,,False
Harshso62023162,0,0,,False
VbalaSu63632625,0,0,,False
SathishBolagan2,0,0,,False
ganesh_kamali,4,10,Kathmandu Nepal,False
spboobgvij09071,0,0,,False
ThakurV98736715,0,0,,False
LilawatiG,0,0,,False
keane1176,1,0,,False
Saritabhuyan6,0,0,,False
AbhayJa62037220,1,0,,False
Anshulp05696853,1,0,,False
Avadhes68010948,0,0,"Lalitpur, India",False
nehawelekar,0,0,,False
Arpitkeshari14,1,1,Varanasi,False
SANDEEPVASTRAK2,0,0,,False
SunilKu01602110,0,0,,False
bmarif420,97,1200,"Dhaka, Bangladesh",True
Puttasw29032461,0,0,,False
Shruti54014764,0,0,,False
AhmadKh85739408,1,8,"Karachi, Pakistan",False
