id,created_at,text,retweet_count,favorite_count
649532892217913344,2015-10-01 10:34:43,@kamaalrkhan thats great 😀😀,0,0
648523006168268800,2015-09-28 15:41:48,@kamaalrkhan Saale Katwee I will see you once I will back in india,0,0
648136822002835456,2015-09-27 14:07:14,@cemmaslan69 hi,0,0
648016829944692736,2015-09-27 06:10:26,"RT @yadavakhilesh: Eid Mubarak 
Enroute to Jaipur today.",121,0
647639535656919040,2015-09-26 05:11:12,@kamaalrkhan Hahaha 1M sai thousand mai aagaya kya re #krk kyu huwa aisaa 😀😀😀😀😀😀😀,0,0
647474210810408960,2015-09-25 18:14:16,"RT @Uber: Head out with Uber tonight and enjoy the sunshine and warmer nights this summer. Install now! 
 https://t.co/5RC2KKbJ4W",6,0
647474002051530752,2015-09-25 18:13:26,RT @narendramodi: Let us follow Deendayal ji's path &amp; create an India that is developed &amp; just. Have shared some thoughts on my Blog. http:…,1819,0
647474002047315968,2015-09-25 18:13:26,RT @narendramodi: My speech at the @UN. http://t.co/ltNznpXEIS #UNGA,1877,0
647473849827635201,2015-09-25 18:12:49,RT @narendramodi: @tsheringtobgay Thank you very much.,253,0
645333785794359296,2015-09-19 20:28:58,"@kamaalrkhan This is not a way to post any things about BJP since  we are keeping watching you ,hope you will stop such things #Sabkavikas",0,0
645329296936927232,2015-09-19 20:11:08,RT @narendramodi: Tomorrow at 11 AM. Do join. #MannKiBaat http://t.co/koJgUwE7La,2204,0
645329286455427072,2015-09-19 20:11:06,"RT @narendramodi: Birthday greetings to the youthful &amp; dynamic PM of Bhutan, my good friend @tsheringtobgay. I pray for his good health &amp; l…",1496,0
645329276883996672,2015-09-19 20:11:03,RT @narendramodi: These little cubs are inviting you to visit Gir :) https://t.co/PysLXH1Qqj,1217,0
645329258781368320,2015-09-19 20:10:59,RT @narendramodi: Gir Sanctuary completes 50 yrs as the home to Asiatic lion. It is a matter of joy that population of Asiatic lions has ri…,1502,0
645329256000520192,2015-09-19 20:10:58,"RT @narendramodi: Our initiatives on skill development &amp; MUDRA bank are dedicated towards 'personal sector', which will become the engine o…",1079,0
645329236631289856,2015-09-19 20:10:54,RT @narendramodi: Also had a great interaction with beneficiaries of the schemes. They dream of better education for their children. http:/…,862,0
645329225549910016,2015-09-19 20:10:51,RT @narendramodi: Financial inclusion initiatives will change fortunes of people in Varanasi &amp; will add strength to our fight against pover…,914,0
645329213373837313,2015-09-19 20:10:48,RT @narendramodi: Integrated Power Development Scheme will rejuvenate the electricity network across India &amp; help provide 24/7 electricity.,999,0
645329194675601408,2015-09-19 20:10:44,RT @narendramodi: Spent a fruitful day in Varanasi. Met people from different walks of life &amp; discussed development issues. http://t.co/nyj…,985,0
645329181098668032,2015-09-19 20:10:41,RT @narendramodi: I am grateful to President Putin for his kind wishes on my birthday.,866,0
645329170101174272,2015-09-19 20:10:38,"RT @narendramodi: Leaving for Varanasi, where I will attend various programmes. http://t.co/DeOs8nU6zH",1703,0
645329159892287488,2015-09-19 20:10:36,RT @narendramodi: Nuakhai Juhar! Greetings to the people of Odisha as they celebrate the festival of Nuakhai. May this festival further hap…,1827,0
645329146114011136,2015-09-19 20:10:32,RT @narendramodi: A big thanks to you all for your kind wishes. It truly means a lot. Totally humbled by the affection.,2792,0
645329135028465664,2015-09-19 20:10:30,"RT @narendramodi: @tsheringtobgay PM Tobgay, I thank you for the wonderful wishes.",215,0
645329122709757952,2015-09-19 20:10:27,RT @narendramodi: @nice_indian Thanks a lot.,165,0
645329117508820992,2015-09-19 20:10:25,RT @narendramodi: @PPBhaishri Thank you very much for the kind wishes.,168,0
645329106100355072,2015-09-19 20:10:23,RT @narendramodi: @_imabhishek Thank you for the wishes.,100,0
645329094024916992,2015-09-19 20:10:20,RT @narendramodi: @yourssid Thanks Siddharth.,84,0
645329074890473472,2015-09-19 20:10:15,RT @narendramodi: @RespectBigB Thanks.,89,0
645329059795222529,2015-09-19 20:10:12,RT @narendramodi: @vijayvaani Thanks for the wishes.,83,0
645329048218943489,2015-09-19 20:10:09,RT @narendramodi: @BharataWasii Thanks a lot.,77,0
645329036420341760,2015-09-19 20:10:06,RT @narendramodi: @Dey_Sumit2006 Thanks Sumit.,75,0
645329027155148800,2015-09-19 20:10:04,RT @narendramodi: @impankajmani Thank you Pankaj.,80,0
645329005856460801,2015-09-19 20:09:59,RT @narendramodi: @BluruLad Thanks for the wishes.,80,0
645328997052649472,2015-09-19 20:09:57,RT @narendramodi: @alok_bhatt Thank you for the kind wishes.,139,0
645328997052628993,2015-09-19 20:09:57,RT @narendramodi: @manojsirsa Thank you so much Manoj.,101,0
645328967684100096,2015-09-19 20:09:50,RT @narendramodi: @nikhilhrd Thanks for the wishes.,73,0
645328963997339648,2015-09-19 20:09:49,RT @narendramodi: @BalramS01 I thank you for the kind wishes.,79,0
645328949904437248,2015-09-19 20:09:45,RT @narendramodi: @bhajuram2011 Thanks.,79,0
645328941016678400,2015-09-19 20:09:43,RT @narendramodi: @girirajsinghbjp Thank you very much.,213,0
645328928245022721,2015-09-19 20:09:40,RT @narendramodi: @jainenda8161 Thanks.,76,0
645328920439472128,2015-09-19 20:09:38,RT @narendramodi: @wantIndiafirst Thank you and same to you. Have a wonderful year.,95,0
645328911061020672,2015-09-19 20:09:36,RT @narendramodi: @ShaleenChikara Thank you very much.,77,0
645328885823877120,2015-09-19 20:09:30,RT @narendramodi: @monakaran Thanks.,77,0
645328877854691329,2015-09-19 20:09:28,RT @narendramodi: @kumar856 Thanks a lot.,78,0
645328869461901312,2015-09-19 20:09:26,RT @narendramodi: @JD_108 Thank you for the wishes.,79,0
645328854429532160,2015-09-19 20:09:23,RT @narendramodi: No mention of Hyderabad State's merger into India is complete without remembering exemplary role played by Sardar Patel d…,1719,0
645328833978089472,2015-09-19 20:09:18,RT @narendramodi: I salute all those who sacrificed their lives for India's unity during the period of the merger of Hyderabad State into I…,1579,0
645328825241309184,2015-09-19 20:09:16,RT @narendramodi: @superstarrajini Thank you very much.,712,0
645328812096421888,2015-09-19 20:09:13,"RT @narendramodi: @IsraeliPM My gratitude to you for your wishes, PM @netanyahu.",290,0
